Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
1.62,526,212.7,0.006,25,70.17,1.85,
1.65,531,214.7,0.006,25,64.7,1.81,
1.68,536,216.6,0.006,25,60.02,1.78,
1.71,541,218.3,0.006,25,56.42,1.75,
1.74,546,220,0.006,25,53.28,1.73,
1.77,551,221.5,0.0055,25,50.27,1.7,
1.8,556,223,0.0055,25,47.28,1.67,
1.83,561,224.4,0.0055,25,44.8,1.65,
1.86,566,225.7,0.0055,25,42.62,1.63,
1.89,572,226.9,0.0055,25,40.61,1.61,
1.92,577,228.1,0.0065,25,38.99,1.59,
1.95,582,229.3,0.006,25,37.67,1.58,
1.98,587,230.4,0.006,25,36.14,1.56,
2.01,592,231.4,0.006,25,,,
2.04,597,232.5,0.006,25,,,
2.07,602,233.4,0.006,25,,,
2.1,607,234.3,0.006,25,,,
2.13,612,235.2,0.0055,25,,,
Scope 1/1, Sample 1/18 (C1_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-87.5,NaN,21.8,,,
0.06,8,-89.9,0.008,21.6,,,
0.12,26,-82.8,0.0035,21.6,,,
0.18,46,-74,0.003,21.6,,,
0.24,66,-62.9,0.003,21.6,,,
0.3,86,-48.1,0.003,21.7,,,
0.36,106,-26.5,0.003,21.7,,,
0.42,127,-5.7,0.003,21.8,,,
0.48,147,6.8,0.003,21.8,,,
0.54,167,16.8,0.003,21.9,,,
0.6,187,25.4,0.003,21.9,,,
0.66,207,33.4,0.003,22,,,
0.72,227,41,0.003,22,,,
0.78,247,48.6,0.003,22,,,
0.84,268,56.1,0.003,22.1,,,
0.9,288,63.4,0.003,22.1,,,
0.96,308,71.3,0.003,22.2,,,
1.02,328,80,0.003,22.2,,,
1.08,348,89.8,0.003,22.3,,,
1.14,368,102.6,0.003,22.3,289.91,2.46,
1.2,387,121.6,0.003,22.3,342.47,2.53,
1.26,398,149.5,0.0055,22.3,364.68,2.56,
1.32,406,172.5,0.0075,22.4,336.05,2.53,
1.38,413,186.3,0.009,22.4,257.28,2.41,
1.41,509,191.4,0.0005,22.5,194.73,2.29,
1.44,515,195.6,0.0055,22.5,131.39,2.12,
1.47,520,199.2,0.006,22.6,105.61,2.02,
1.5,525,202.4,0.0055,22.6,97.69,1.99,
1.53,530,205.3,0.0055,22.6,89.41,1.95,
1.56,536,207.8,0.005,22.6,81.39,1.91,
1.59,542,210.2,0.0055,22.6,74.11,1.87,
1.62,547,212.3,0.006,22.6,68.16,1.83,
1.65,553,214.3,0.005,22.6,63.38,1.8,
1.68,558,216.1,0.006,22.6,59.41,1.77,
1.71,563,217.8,0.006,22.6,55.42,1.74,
1.74,568,219.5,0.0055,22.6,52.13,1.72,
1.77,574,221,0.0055,22.7,48.75,1.69,
1.8,579,222.4,0.0065,22.7,45.76,1.66,
1.83,584,223.7,0.0065,22.7,43.47,1.64,
1.86,589,225,0.006,22.7,41.62,1.62,
1.89,594,226.2,0.006,22.7,40.13,1.6,
1.92,599,227.4,0.006,22.7,38.33,1.58,
1.95,604,228.6,0.006,22.7,36.66,1.56,
1.98,609,229.6,0.0055,22.7,34.95,1.54,
2.01,614,230.6,0.0055,22.7,33.67,1.53,
2.04,620,231.6,0.0055,22.7,,,
2.07,625,232.6,0.0065,22.7,,,
2.1,630,233.5,0.006,22.8,,,
2.13,635,234.4,0.006,22.8,,,
2.16,640,235.2,0.006,22.8,,,
Scope 1/1, Sample 1/18 (C2_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-84.1,NaN,22.4,,,
0.06,8,-85.8,0.0075,22.2,,,
0.12,28,-78.2,0.003,22.2,,,
0.18,48,-68.8,0.003,22.3,,,
0.24,69,-56.5,0.003,22.3,,,
0.3,89,-39.3,0.003,22.3,,,
0.36,109,-16.6,0.003,22.4,,,
0.42,129,-0.4,0.003,22.4,,,
0.48,149,10.2,0.003,22.4,,,
0.54,169,19.1,0.003,22.5,,,
0.6,189,27.1,0.003,22.5,,,
0.66,209,34.5,0.003,22.6,,,
0.72,230,41.6,0.003,22.6,,,
0.78,250,48.5,0.003,22.6,,,
0.84,270,55.3,0.003,22.7,,,
0.9,290,62,0.003,22.7,,,
0.96,310,68.9,0.003,22.7,,,
1.02,330,76.6,0.003,22.8,,,
1.08,350,85,0.003,22.8,,,
1.14,369,95,0.003,22.8,,,
1.2,389,108.6,0.003,22.9,296.87,2.47,
1.26,406,129.2,0.0035,22.9,342.27,2.53,
1.32,416,156.6,0.006,22.9,353.31,2.55,
1.38,423,176.6,0.009,22.9,313.82,2.5,
1.44,429,189,0.0105,22.9,231.24,2.36,
1.47,525,193.7,0.0005,23.1,170.13,2.23,
1.5,530,197.5,0.0055,23.1,117.07,2.07,
1.53,536,201,0.0055,23.1,100.76,2,
1.56,541,204,0.006,23.1,93.43,1.97,
1.59,546,206.7,0.006,23.1,85.81,1.93,
1.62,551,209.2,0.006,23.1,78.3,1.89,
1.65,556,211.5,0.006,23.1,71.64,1.86,
1.68,562,213.5,0.005,23.1,66.18,1.82,
1.71,567,215.4,0.006,23.1,61.02,1.79,
1.74,572,217.2,0.006,23.1,57.27,1.76,
1.77,577,218.9,0.006,23.1,53.9,1.73,
1.8,582,220.4,0.0055,23.1,50.94,1.71,
1.83,588,221.9,0.0055,23.2,47.81,1.68,
1.86,593,223.4,0.0065,23.2,45.27,1.66,
1.89,598,224.6,0.006,23.2,43.29,1.64,
1.92,603,225.9,0.006,23.2,41.34,1.62,
1.95,608,227.1,0.006,23.2,39.12,1.59,
1.98,613,228.3,0.006,23.2,37.48,1.57,
2.01,618,229.4,0.006,23.2,36,1.56,
2.04,623,230.4,0.0055,23.2,33.95,1.53,
2.07,628,231.4,0.0055,23.2,,,
2.1,633,232.4,0.0055,23.2,,,
2.13,639,233.3,0.0055,23.2,,,
2.16,644,234.2,0.0065,23.2,,,
2.19,649,235.1,0.006,23.3,,,
Scope 1/1, Sample 1/18 (C3_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-84.4,NaN,23.2,,,
0.06,10,-84.9,0.006,23.1,,,
0.12,30,-77.1,0.003,23.2,,,
0.18,50,-67.6,0.003,23.2,,,
0.24,70,-55.3,0.003,23.2,,,
0.3,90,-38,0.003,23.2,,,
0.36,111,-15.2,0.003,23.3,,,
0.42,131,1,0.003,23.3,,,
0.48,151,11.2,0.003,23.3,,,
0.54,171,19.9,0.003,23.4,,,
0.6,191,27.8,0.003,23.4,,,
0.66,211,35.1,0.003,23.4,,,
0.72,231,42,0.003,23.4,,,
0.78,251,48.8,0.003,23.5,,,
0.84,272,55.6,0.003,23.5,,,
0.9,292,62.1,0.003,23.5,,,
0.96,312,69,0.003,23.5,,,
1.02,332,76.4,0.003,23.6,,,
1.08,351,84.5,0.003,23.6,,,
1.14,371,94.4,0.003,23.6,,,
1.2,390,107.2,0.003,23.6,288.89,2.46,
1.26,406,126.7,0.004,23.7,338.47,2.53,
1.32,416,154.2,0.006,23.7,355.29,2.55,
1.38,423,175.4,0.008,23.7,321.71,2.51,
1.44,429,188.4,0.0095,23.7,242.63,2.38,
1.47,526,193.3,0.0005,23.8,181.17,2.26,
1.5,532,197.2,0.005,23.8,123.51,2.09,
1.53,538,200.8,0.005,23.8,103.25,2.01,
1.56,543,203.9,0.006,23.8,95.38,1.98,
1.59,549,206.7,0.005,23.8,87.28,1.94,
1.62,555,209.2,0.005,23.8,79.44,1.9,
1.65,562,211.5,0.0045,23.8,72.25,1.86,
1.68,567,213.5,0.0055,23.8,67.03,1.83,
1.71,573,215.5,0.005,23.8,62.03,1.79,
1.74,579,217.3,0.0055,23.8,58.06,1.76,
1.77,584,219,0.0055,23.9,54.43,1.74,
1.8,590,220.6,0.005,23.9,51.27,1.71,
1.83,595,222,0.006,23.9,48.09,1.68,
1.86,600,223.5,0.006,23.9,45.8,1.66,
1.89,605,224.8,0.006,23.9,43.8,1.64,
1.92,610,226.1,0.0055,23.9,41.62,1.62,
1.95,615,227.3,0.0055,23.9,39.65,1.6,
1.98,620,228.5,0.0055,23.9,37.81,1.58,
2.01,626,229.6,0.0055,23.9,36.48,1.56,
2.04,631,230.6,0.0065,23.9,34.81,1.54,
2.07,636,231.7,0.006,23.9,,,
2.1,641,232.7,0.006,23.9,,,
2.13,646,233.6,0.006,23.9,,,
2.16,651,234.5,0.006,23.9,,,
2.19,657,235.4,0.005,23.9,,,
Scope 1/1, Sample 1/18 (C4_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-81.1,NaN,23.6,,,
0.06,10,-81.5,0.006,23.5,,,
0.12,30,-73,0.003,23.6,,,
0.18,50,-62.6,0.003,23.6,,,
0.24,70,-48.4,0.003,23.6,,,
0.3,90,-28.8,0.003,23.6,,,
0.36,110,-7.3,0.003,23.7,,,
0.42,130,5.1,0.003,23.7,,,
0.48,151,15.1,0.003,23.7,,,
0.54,171,23.4,0.003,23.7,,,
0.6,191,30.9,0.003,23.8,,,
0.66,211,38.1,0.003,23.8,,,
0.72,231,44.8,0.003,23.8,,,
0.78,251,51.4,0.003,23.8,,,
0.84,272,57.9,0.003,23.8,,,
0.9,292,64.4,0.003,23.9,,,
0.96,312,71.2,0.003,23.9,,,
1.02,332,78.7,0.003,23.9,,,
1.08,352,87,0.003,23.9,,,
1.14,372,97.2,0.003,24,,,
1.2,391,110.6,0.003,24,295.87,2.47,
1.26,405,131.4,0.0045,24,339.66,2.53,
1.32,415,158.5,0.006,24,348.69,2.54,
1.38,422,177.8,0.009,24,308.06,2.49,
1.44,428,190,0.0105,24,226.27,2.35,
1.47,524,194.6,0.0005,24.1,165.59,2.22,
1.5,530,198.4,0.005,24.1,114.94,2.06,
1.53,535,201.8,0.006,24.1,99.96,2,
1.56,540,204.8,0.0055,24.1,92.05,1.96,
1.59,546,207.5,0.005,24.1,84.48,1.93,
1.62,551,209.9,0.0055,24.1,77.25,1.89,
1.65,556,212.1,0.0055,24.1,71.17,1.85,
1.68,562,214.2,0.0055,24.1,66.03,1.82,
1.71,567,216.1,0.0065,24.1,61.74,1.79,
1.74,572,217.9,0.006,24.1,57.42,1.76,
1.77,577,219.6,0.006,24.1,53.41,1.73,
1.8,582,221.1,0.006,24.1,50.28,1.7,
1.83,587,222.6,0.006,24.2,47.43,1.68,
1.86,592,223.9,0.006,24.2,44.93,1.65,
1.89,597,225.3,0.006,24.2,42.81,1.63,
1.92,602,226.6,0.0055,24.2,41.13,1.61,
1.95,607,227.7,0.0055,24.2,39.49,1.6,
1.98,612,228.9,0.0055,24.2,37.67,1.58,
2.01,618,230,0.0055,24.2,35.79,1.55,
2.04,623,231.1,0.0065,24.2,34.68,1.54,
2.07,628,232.1,0.006,24.2,,,
2.1,633,233,0.006,24.2,,,
2.13,638,234,0.006,24.2,,,
2.16,643,234.9,0.006,24.2,,,
2.19,648,235.7,0.006,24.2,,,
Scope 1/1, Sample 1/18 (C5_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-62.8,NaN,23.6,,,
0.06,8,-69.8,0.007,23.6,,,
0.12,28,-59,0.003,23.6,,,
0.18,49,-44.5,0.003,23.6,,,
0.24,69,-24.4,0.003,23.6,,,
0.3,89,-5.7,0.003,23.7,,,
0.36,109,5.8,0.003,23.7,,,
0.42,129,15.1,0.003,23.7,,,
0.48,149,22.8,0.003,23.7,,,
0.54,169,29.7,0.003,23.8,,,
0.6,190,36.2,0.003,23.8,,,
0.66,210,42.7,0.003,23.8,,,
0.72,230,48.3,0.003,23.8,,,
0.78,250,54,0.003,23.8,,,
0.84,270,59.8,0.003,23.9,,,
0.9,290,65.5,0.003,23.9,,,
0.96,310,71.6,0.003,23.9,,,
1.02,330,78.2,0.003,23.9,,,
1.08,348,85.4,0.0035,23.9,,,
1.14,367,94.2,0.003,24,,,
1.2,385,105.1,0.0035,24,250.91,2.4,
1.26,401,121,0.004,24,307.5,2.49,
1.32,412,145,0.0055,24,341.28,2.53,
1.38,420,169.1,0.0075,24,329.98,2.52,
1.44,426,184.4,0.0095,24,269.25,2.43,
1.47,522,189.9,0.0005,24.1,216.14,2.33,
1.5,528,194.4,0.005,24.1,153.05,2.18,
1.53,534,198.3,0.0055,24.1,114.99,2.06,
1.56,539,201.7,0.006,24.1,103.58,2.02,
1.59,544,204.8,0.006,24.1,94.55,1.98,
1.62,549,207.5,0.006,24.1,85.34,1.93,
1.65,554,209.9,0.0055,24.1,77.4,1.89,
1.68,559,212.1,0.0055,24.1,71.16,1.85,
1.71,565,214.2,0.0055,24.1,65.83,1.82,
1.74,570,216.1,0.0065,24.1,61.55,1.79,
1.77,575,217.9,0.006,24.1,57.42,1.76,
1.8,580,219.6,0.006,24.1,53.94,1.73,
1.83,585,221.1,0.006,24.2,50.76,1.71,
1.86,590,222.6,0.006,24.2,48.14,1.68,
1.89,595,224,0.006,24.2,45.47,1.66,
1.92,600,225.4,0.006,24.2,42.94,1.63,
1.95,605,226.6,0.0055,24.2,40.8,1.61,
1.98,610,227.8,0.0055,24.2,38.62,1.59,
2.01,616,228.9,0.0055,24.2,37.13,1.57,
2.04,621,230,0.0065,24.2,35.81,1.55,
2.07,626,231.1,0.006,24.2,34.66,1.54,
2.1,631,232.1,0.006,24.2,,,
2.13,636,233.1,0.006,24.2,,,
2.16,641,234,0.006,24.2,,,
2.19,646,234.9,0.006,24.2,,,
2.22,651,235.8,0.006,24.2,,,
Scope 1/1, Sample 1/18 (C6_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-70,NaN,23.9,,,
0.06,11,-72.9,0.0055,23.9,,,
0.12,31,-63.3,0.003,23.9,,,
0.18,51,-50.2,0.003,24,,,
0.24,72,-31.7,0.003,24,,,
0.3,92,-10.7,0.003,24,,,
0.36,112,2.7,0.003,24,,,
0.42,132,12.3,0.003,24,,,
0.48,152,20.4,0.003,24,,,
0.54,172,27.6,0.003,24.1,,,
0.6,192,34.2,0.003,24.1,,,
0.66,212,40.5,0.003,24.1,,,
0.72,232,46.5,0.003,24.1,,,
0.78,253,52.4,0.003,24.1,,,
0.84,273,58.2,0.003,24.1,,,
0.9,293,64,0.003,24.2,,,
0.96,313,69.9,0.003,24.2,,,
1.02,332,76.3,0.003,24.2,,,
1.08,351,83.4,0.003,24.2,,,
1.14,369,91.6,0.0035,24.2,,,
1.2,387,101.9,0.0035,24.2,231.65,2.36,
1.26,403,116,0.004,24.2,291.91,2.47,
1.32,416,137.8,0.0045,24.3,335.75,2.53,
1.38,424,163.4,0.0075,24.3,338.63,2.53,
1.44,431,180.9,0.009,24.3,289.45,2.46,
1.47,528,187,0.0005,24.3,242.74,2.39,
1.5,533,191.9,0.006,24.3,177.48,2.25,
1.53,539,196.2,0.005,24.3,127.32,2.1,
1.56,545,199.9,0.0055,24.3,110.47,2.04,
1.59,550,203.1,0.006,24.3,100.78,2,
1.62,555,206,0.006,24.3,90.67,1.96,
1.65,561,208.6,0.0055,24.3,81.86,1.91,
1.68,566,210.9,0.0065,24.4,74.58,1.87,
1.71,571,213.1,0.006,24.4,68.69,1.84,
1.74,576,215.1,0.006,24.4,63.7,1.8,
1.77,581,216.9,0.006,24.4,59.37,1.77,
1.8,586,218.6,0.006,24.4,55.6,1.75,
1.83,591,220.3,0.006,24.4,52.27,1.72,
1.86,596,221.8,0.0055,24.4,49.42,1.69,
1.89,601,223.2,0.0055,24.4,46.81,1.67,
1.92,606,224.6,0.0055,24.4,44.14,1.64,
1.95,612,225.9,0.0055,24.4,41.94,1.62,
1.98,617,227.1,0.0065,24.4,40.15,1.6,
2.01,622,228.3,0.0065,24.4,38.14,1.58,
2.04,627,229.4,0.006,24.4,36.47,1.56,
2.07,632,230.5,0.006,24.4,35.15,1.55,
2.1,637,231.5,0.006,24.4,,,
2.13,642,232.5,0.006,24.4,,,
2.16,647,233.5,0.006,24.4,,,
2.19,652,234.4,0.006,24.4,,,
2.22,657,235.3,0.0055,24.4,,,
Scope 1/1, Sample 1/18 (C7_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-80.7,NaN,24.3,,,
0.06,11,-80.5,0.0055,24.4,,,
0.12,31,-71.5,0.003,24.4,,,
0.18,51,-60.7,0.003,24.4,,,
0.24,71,-45.6,0.003,24.4,,,
0.3,91,-24.4,0.003,24.4,,,
0.36,111,-4.3,0.003,24.4,,,
0.42,132,8.4,0.003,24.4,,,
0.48,152,18.2,0.003,24.5,,,
0.54,172,26.6,0.003,24.5,,,
0.6,192,34.3,0.003,24.5,,,
0.66,212,41.7,0.003,24.5,,,
0.72,232,48.7,0.003,24.5,,,
0.78,252,55.6,0.003,24.5,,,
0.84,272,62.6,0.003,24.5,,,
0.9,292,69.5,0.003,24.5,,,
0.96,313,77.1,0.003,24.6,,,
1.02,333,85.7,0.003,24.6,,,
1.08,351,95.7,0.0035,24.6,,,
1.14,370,109.3,0.003,24.6,296.71,2.47,
1.2,384,129.5,0.0045,24.6,342.14,2.53,
1.26,394,157.3,0.0055,24.6,353.68,2.55,
1.32,401,177.3,0.008,24.6,315.36,2.5,
1.38,407,189.8,0.01,24.6,233.23,2.37,
1.41,503,194.5,0.0005,24.7,172.16,2.24,
1.44,508,198.5,0.0055,24.7,117.79,2.07,
1.47,514,201.9,0.0055,24.7,101.88,2.01,
1.5,519,204.9,0.006,24.7,93.98,1.97,
1.53,524,207.7,0.0055,24.7,85.99,1.93,
1.56,530,210.2,0.0055,24.7,78.58,1.9,
1.59,535,212.4,0.006,24.7,71.79,1.86,
1.62,540,214.5,0.006,24.7,66.21,1.82,
1.65,545,216.4,0.0055,24.7,61.37,1.79,
1.68,550,218.2,0.0055,24.7,57.36,1.76,
1.71,556,219.8,0.0055,24.7,54.13,1.73,
1.74,561,221.5,0.0065,24.7,50.95,1.71,
1.77,566,222.9,0.006,24.7,48.07,1.68,
1.8,571,224.3,0.006,24.7,45.48,1.66,
1.83,576,225.7,0.006,24.7,43.33,1.64,
1.86,581,226.9,0.0055,24.7,41.09,1.61,
1.89,586,228.1,0.0055,24.7,39.33,1.59,
1.92,592,229.3,0.005,24.7,37.32,1.57,
1.95,597,230.4,0.006,24.7,35.42,1.55,
1.98,602,231.4,0.006,24.7,,,
2.01,607,232.4,0.006,24.7,,,
2.04,612,233.4,0.006,24.7,,,
2.07,617,234.3,0.006,24.7,,,
2.1,622,235.3,0.0055,24.7,,,
Scope 1/1, Sample 1/18 (C8_End_0626_1400),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-63,NaN,24.6,,,
0.06,17,-66.6,0.0035,24.7,,,
0.12,37,-55.5,0.003,24.7,,,
0.18,57,-39.5,0.003,24.7,,,
0.24,77,-18.5,0.003,24.7,,,
0.3,98,-2.3,0.003,24.7,,,
0.36,118,8.6,0.003,24.7,,,
0.42,138,17.3,0.003,24.7,,,
0.48,158,24.8,0.003,24.8,,,
0.54,178,31.6,0.003,24.8,,,
0.6,198,37.9,0.003,24.8,,,
0.66,218,44,0.003,24.8,,,
0.72,238,49.8,0.003,24.8,,,
0.78,258,55.6,0.003,24.8,,,
0.84,279,61.3,0.003,24.8,,,
0.9,299,67.1,0.003,24.8,,,
0.96,319,73.2,0.003,24.8,,,
1.02,338,79.7,0.003,24.9,,,
1.08,357,87.2,0.003,24.9,,,
1.14,374,96.3,0.0035,24.9,,,
1.2,390,107.8,0.0035,24.9,263.22,2.42,
1.26,406,125.1,0.0035,24.9,316.08,2.5,
1.32,417,150,0.0055,24.9,341.9,2.53,
1.38,425,172.6,0.008,24.9,321.91,2.51,
1.44,431,186.8,0.01,24.9,254.8,2.41,
1.47,527,191.9,0.0005,24.9,199.25,2.3,
1.5,532,196.2,0.0055,24.9,140,2.15,
1.53,538,200,0.005,25,109.56,2.04,
1.56,544,203.2,0.0055,25,100.07,2,
1.59,549,206.1,0.0065,25,91.61,1.96,
1.62,554,208.8,0.006,25,82.71,1.92,
1.65,559,211.2,0.006,25,75.59,1.88,
1.68,564,213.3,0.006,25,69.85,1.84,
1.71,569,215.3,0.006,25,64.36,1.81,
1.74,574,217.2,0.0055,25,59.88,1.78,
1.77,580,219,0.0055,25,56.61,1.75,
1.8,585,220.6,0.0065,25,53.09,1.73,
1.83,590,222.1,0.006,25,49.6,1.7,
1.86,595,223.6,0.006,25,46.8,1.67,
1.89,600,225,0.006,25,44.42,1.65,
1.92,605,226.2,0.006,25,42.28,1.63,
1.95,610,227.5,0.006,25,40.52,1.61,
1.98,615,228.7,0.006,25,38.61,1.59,
2.01,620,229.8,0.0055,25,37.14,1.57,
2.04,625,230.9,0.0055,25,35.53,1.55,
2.07,631,232,0.0055,25,,,
2.1,636,232.9,0.006,25,,,
2.13,641,233.9,0.006,25,,,
2.16,646,234.8,0.006,25,,,
2.19,651,235.7,0.006,25,,,
