Task,T916,,,,,,
Scope 1/1, Sample 1/18 (Junk),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
1.53,544,188.3,0.0005,25.7,228.8,2.36,
1.56,549,193.1,0.0065,25.7,166.6,2.22,
1.59,554,197.2,0.006,25.7,122.67,2.09,
1.62,559,200.8,0.0055,25.7,108.53,2.04,
1.65,565,204,0.0055,25.7,98.49,1.99,
1.68,570,206.8,0.006,25.7,88.81,1.95,
1.71,575,209.3,0.0055,25.7,80.73,1.91,
1.74,580,211.6,0.0055,25.7,73.97,1.87,
1.77,586,213.8,0.0055,25.7,68.35,1.83,
1.8,591,215.8,0.006,25.7,63.56,1.8,
1.83,596,217.6,0.006,25.7,59.09,1.77,
1.86,601,219.3,0.0055,25.7,54.75,1.74,
1.89,606,220.9,0.0055,25.7,50.88,1.71,
1.92,611,222.4,0.0055,25.7,48.08,1.68,
1.95,616,223.8,0.0055,25.7,45.95,1.66,
1.98,622,225.1,0.0055,25.7,44.14,1.64,
2.01,627,226.4,0.0065,25.7,42.33,1.63,
2.04,632,227.7,0.006,25.7,40.32,1.61,
2.07,637,228.9,0.006,25.7,38.33,1.58,
2.1,642,230,0.006,25.7,35.96,1.56,
2.13,647,231,0.006,25.7,33.94,1.53,
2.16,652,232,0.006,25.7,,,
2.19,657,233,0.006,25.7,,,
2.22,662,233.9,0.0055,25.7,,,
2.25,667,234.9,0.0055,25.7,,,
2.28,672,235.8,0.0055,25.7,,,
Scope 1/1, Sample 1/18 (Tank13_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-57.3,NaN,24.3,,,
0.06,18,-61.3,0.0035,24.3,,,
0.12,38,-49.2,0.003,24.3,,,
0.18,58,-31.7,0.003,24.3,,,
0.24,78,-12.1,0.003,24.4,,,
0.3,98,0.8,0.003,24.4,,,
0.36,118,10.2,0.003,24.4,,,
0.42,138,17.9,0.003,24.4,,,
0.48,158,24.7,0.003,24.4,,,
0.54,178,30.9,0.003,24.4,,,
0.6,199,36.7,0.003,24.5,,,
0.66,219,42.3,0.003,24.5,,,
0.72,239,47.6,0.003,24.5,,,
0.78,259,52.8,0.003,24.5,,,
0.84,279,57.9,0.003,24.5,,,
0.9,299,63.1,0.003,24.5,,,
0.96,319,68.4,0.003,24.5,,,
1.02,338,74.1,0.003,24.6,,,
1.08,357,80.3,0.003,24.6,,,
1.14,375,87.3,0.0035,24.6,,,
1.2,392,95.6,0.0035,24.6,,,
1.26,408,106.3,0.004,24.6,242.69,2.39,
1.32,424,121.6,0.004,24.6,298.59,2.48,
1.38,435,144.8,0.0055,24.6,332.75,2.52,
1.44,443,168.5,0.008,24.6,323.81,2.51,
1.5,449,183.6,0.01,24.6,266.3,2.43,
1.53,546,189.2,0.0005,24.7,215.88,2.33,
1.56,551,193.7,0.0055,24.7,154.57,2.19,
1.59,557,197.7,0.0045,24.7,116.4,2.07,
1.62,563,201.2,0.0055,24.7,104.66,2.02,
1.65,568,204.2,0.006,24.7,94.46,1.98,
1.68,573,206.8,0.006,24.7,85.33,1.93,
1.71,579,209.3,0.0055,24.7,77.58,1.89,
1.74,584,211.6,0.006,24.7,71.96,1.86,
1.77,589,213.6,0.0055,24.7,67.04,1.83,
1.8,595,215.6,0.0055,24.7,62.27,1.79,
1.83,600,217.4,0.006,24.7,57.74,1.76,
1.86,605,219.1,0.006,24.7,53.9,1.73,
1.89,610,220.6,0.006,24.7,50.61,1.7,
1.92,615,222.1,0.006,24.7,47.42,1.68,
1.95,620,223.5,0.006,24.7,45.27,1.66,
1.98,625,224.8,0.0055,24.7,43.48,1.64,
2.01,630,226.1,0.0055,24.7,41.67,1.62,
2.04,636,227.3,0.0055,24.7,39.47,1.6,
2.07,641,228.5,0.0065,24.7,37.67,1.58,
2.1,646,229.6,0.0065,24.7,35.81,1.55,
2.13,651,230.6,0.0065,24.7,33.95,1.53,
2.16,656,231.6,0.006,24.7,,,
2.19,661,232.6,0.006,24.7,,,
2.22,666,233.5,0.006,24.7,,,
2.25,671,234.4,0.006,24.7,,,
2.28,676,235.3,0.006,24.7,,,
Scope 1/1, Sample 1/18 (Tank14_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-53.4,NaN,24.1,,,
0.06,18,-58.6,0.0035,24.1,,,
0.12,38,-45.6,0.003,24.1,,,
0.18,58,-27.5,0.003,24.1,,,
0.24,78,-8.8,0.003,24.1,,,
0.3,98,3,0.003,24.2,,,
0.36,118,11.8,0.003,24.2,,,
0.42,138,19.2,0.003,24.2,,,
0.48,158,25.7,0.003,24.2,,,
0.54,178,31.7,0.003,24.2,,,
0.6,198,37.4,0.003,24.2,,,
0.66,219,42.8,0.003,24.2,,,
0.72,239,48,0.003,24.3,,,
0.78,259,53.1,0.003,24.3,,,
0.84,279,58.1,0.003,24.3,,,
0.9,299,63.3,0.003,24.3,,,
0.96,319,68.5,0.003,24.3,,,
1.02,336,73.9,0.0035,24.3,,,
1.08,354,80.1,0.0035,24.3,,,
1.14,371,86.9,0.0035,24.4,,,
1.2,388,95.2,0.0035,24.4,,,
1.26,403,105.7,0.004,24.4,236.43,2.37,
1.32,418,120.3,0.004,24.4,292.64,2.47,
1.38,428,142.8,0.006,24.4,329.7,2.52,
1.44,437,166.8,0.007,24.4,324.78,2.51,
1.5,443,182.5,0.01,24.4,271.56,2.43,
1.53,540,188.3,0.0005,24.5,223.52,2.35,
1.56,546,193,0.005,24.5,161.81,2.21,
1.59,551,197,0.0055,24.5,120.52,2.08,
1.62,558,200.6,0.0045,24.5,107.06,2.03,
1.65,564,203.7,0.0055,24.5,96.25,1.98,
1.68,569,206.4,0.0065,24.5,87,1.94,
1.71,574,208.9,0.0065,24.5,78.73,1.9,
1.74,579,211.2,0.006,24.5,72.43,1.86,
1.77,584,213.2,0.006,24.5,67.37,1.83,
1.8,589,215.3,0.006,24.5,62.74,1.8,
1.83,594,217,0.0055,24.5,58.41,1.77,
1.86,599,218.8,0.0055,24.5,54.24,1.73,
1.89,604,220.3,0.0055,24.5,51.12,1.71,
1.92,610,221.8,0.0045,24.5,47.92,1.68,
1.95,616,223.2,0.0055,24.5,45.79,1.66,
1.98,621,224.5,0.0065,24.5,43.28,1.64,
2.01,626,225.9,0.0065,24.5,41.66,1.62,
2.04,631,227,0.0065,24.5,39.61,1.6,
2.07,636,228.2,0.006,24.5,37.81,1.58,
2.1,642,229.3,0.0055,24.5,36.32,1.56,
2.13,647,230.4,0.006,24.5,35.15,1.55,
2.16,652,231.4,0.006,24.5,,,
2.19,657,232.4,0.006,24.5,,,
2.22,662,233.4,0.006,24.5,,,
2.25,667,234.3,0.006,24.6,,,
2.28,672,235.1,0.0055,24.6,,,
Scope 1/1, Sample 1/18 (Tank15_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-61.8,NaN,24.3,,,
0.06,17,-64.7,0.0035,24.3,,,
0.12,38,-53.4,0.003,24.3,,,
0.18,58,-37.5,0.003,24.4,,,
0.24,78,-16.9,0.003,24.4,,,
0.3,98,-1.9,0.003,24.4,,,
0.36,118,8,0.003,24.4,,,
0.42,138,16.4,0.003,24.4,,,
0.48,158,23.4,0.003,24.4,,,
0.54,178,29.9,0.003,24.5,,,
0.6,198,35.9,0.003,24.5,,,
0.66,219,41.6,0.003,24.5,,,
0.72,239,47.1,0.003,24.5,,,
0.78,259,52.4,0.003,24.5,,,
0.84,279,57.7,0.003,24.5,,,
0.9,299,63,0.003,24.5,,,
0.96,319,68.5,0.003,24.6,,,
1.02,340,74.3,0.003,24.6,,,
1.08,358,80.4,0.0035,24.6,,,
1.14,376,87.7,0.0035,24.6,,,
1.2,394,96.3,0.0035,24.6,,,
1.26,411,107.4,0.0035,24.6,251.34,2.4,
1.32,425,123.3,0.004,24.6,305.5,2.49,
1.38,436,147.5,0.0055,24.6,335.27,2.53,
1.44,444,170.5,0.007,24.7,321.34,2.51,
1.5,451,184.9,0.009,24.7,259.62,2.41,
1.53,548,190.4,0.0005,24.7,207.15,2.32,
1.56,553,194.8,0.0055,24.7,146.5,2.17,
1.59,559,198.6,0.005,24.7,113.24,2.05,
1.62,564,202,0.006,24.7,102.49,2.01,
1.65,570,205,0.005,24.7,92.5,1.97,
1.68,575,207.6,0.006,24.7,84.2,1.93,
1.71,580,210,0.0055,24.7,76.78,1.89,
1.74,586,212.2,0.0055,24.7,70.3,1.85,
1.77,591,214.3,0.006,24.7,65.02,1.81,
1.8,596,216.2,0.006,24.7,60.56,1.78,
1.83,601,217.9,0.006,24.8,56.57,1.75,
1.86,606,219.5,0.006,24.8,53.08,1.72,
1.89,611,221.1,0.0055,24.8,50.27,1.7,
1.92,616,222.6,0.0055,24.8,48.14,1.68,
1.95,621,224,0.0055,24.8,45.81,1.66,
1.98,626,225.3,0.0055,24.8,43.33,1.64,
2.01,632,226.6,0.0055,24.8,40.81,1.61,
2.04,637,227.8,0.0065,24.8,38.61,1.59,
2.07,642,228.9,0.006,24.8,36.61,1.56,
2.1,647,230,0.006,24.8,35.33,1.55,
2.13,652,231,0.006,24.8,33.95,1.53,
2.16,657,232,0.006,24.8,,,
2.19,662,233,0.006,24.8,,,
2.22,667,234,0.006,24.8,,,
2.25,672,234.8,0.0055,24.8,,,
2.28,677,235.7,0.0055,24.8,,,
Scope 1/1, Sample 1/18 (Tank16_0616_2100),,,,,,
Result,TitrationEQP1,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [¡C],d E/d V [m V/m L],log d E/d V [log (m V/m L)],Point label
0,0,-61.2,NaN,24.7,,,
0.06,17,-63.1,0.0035,24.7,,,
0.12,38,-51.1,0.003,24.8,,,
0.18,58,-34.3,0.003,24.8,,,
0.24,78,-14,0.003,24.8,,,
0.3,98,-0.1,0.003,24.8,,,
0.36,118,9.6,0.003,24.8,,,
0.42,138,17.6,0.003,24.8,,,
0.48,158,24.5,0.003,24.9,,,
0.54,178,30.8,0.003,24.9,,,
0.6,199,36.8,0.003,24.9,,,
0.66,219,42.4,0.003,24.9,,,
0.72,239,47.9,0.003,24.9,,,
0.78,259,53.2,0.003,24.9,,,
0.84,279,58.4,0.003,24.9,,,
0.9,299,63.8,0.003,25,,,
0.96,319,69.2,0.003,25,,,
1.02,338,74.9,0.003,25,,,
1.08,357,81.2,0.003,25,,,
1.14,374,88.4,0.0035,25,,,
1.2,391,97.3,0.0035,25,,,
1.26,407,108.4,0.0035,25,254.84,2.41,
1.32,422,124.8,0.004,25,307.54,2.49,
1.38,433,149.2,0.0055,25,335.07,2.53,
1.44,440,171.7,0.0085,25,318.1,2.5,
1.5,446,185.8,0.01,25.1,254.91,2.41,
1.53,542,191.1,0.0005,25.1,201.49,2.3,
1.56,548,195.4,0.005,25.1,142.45,2.15,
1.59,554,199.2,0.005,25.1,111.53,2.05,
1.62,559,202.5,0.0055,25.1,101.29,2.01,
1.65,565,205.6,0.005,25.1,91.56,1.96,
1.68,570,208.1,0.0055,25.1,82.81,1.92,
1.71,576,210.4,0.0055,25.1,75.6,1.88,
1.74,581,212.6,0.0065,25.1,70.01,1.85,
1.77,586,214.7,0.006,25.1,65.35,1.82,
1.8,591,216.6,0.006,25.1,61.28,1.79,
1.83,596,218.4,0.006,25.1,56.42,1.75,
1.86,601,220,0.006,25.2,52.42,1.72,
1.89,606,221.5,0.006,25.2,49.24,1.69,
1.92,611,222.9,0.0055,25.2,46.74,1.67,
1.95,616,224.3,0.0055,25.2,44.99,1.65,
1.98,621,225.7,0.0055,25.2,43.14,1.63,
2.01,626,226.9,0.0055,25.2,41.13,1.61,
2.04,632,228.1,0.0055,25.2,39.2,1.59,
2.07,637,229.3,0.0065,25.2,36.94,1.57,
2.1,642,230.3,0.006,25.2,35.27,1.55,
2.13,647,231.4,0.006,25.2,,,
2.16,653,232.4,0.005,25.2,,,
2.19,658,233.3,0.006,25.2,,,
2.22,663,234.3,0.006,25.2,,,
2.25,668,235.2,0.006,25.2,,,
